"Str #","Mall Name","Developer","City","ST","ZIP Code","Market Area","Gross SqFt (Lease) ","Sales Area SqFt (Cnstr)","REC Approve Date","Original Opening ","Remodel Date","Lease Expires","Sales Projection","TY TTM Sales","TY Sales PSF","TY TTM Op Inc","TY TTM CF","Sales % ? vs. LY","LY TTM Sales","LY Sales PSF","LY TTM Op Inc","LY TTM CF","TTM R&O","R&O % Sales","Tenant Allowance PSF","Center Type","Cluster Name","Center Rank","Mall GLA","Shop GLA","Mall Sales PSF ","Mall Sales PSF Date ","RM / DM Wishlist","Top Tier ""A""","Forever 21","State/Area","Mills/Outlet","Street","Store Prototype ","Center Cashwrap (Y/N)","Entry Soffit (Y/N)","Cashwrap Soffit (Y/N)","Illuminated Accessory Wall (Y/N)","Illuminated Shoe Wall (Y/N)","Illuminated Window Walls (Y/N)","Floor Finish ","Brite Store Make-Up"
1,"Plaza Camino Real","Westfield Corp.","Carlsbad","CA",92008,"San Diego-Carlsbad-San Marcos, CA MSA","7,097","5,900","4/14/2006","8/15/1975","10/6/2006","6/30/2017","$1,800,000 ","$1,536,936 ","$217 ","($108,959)","($16,206)","-12%","$1,740,239 ","$245 ","$41,259 ","$134,490 ","$313,828 ","20.40%","$0 ","M","Urb/Sub","C","1,137,445","398,514","$339 ","9-Feb",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
2,"Mission Valley","Westfield Corp.","San Diego","CA",92108,"San Diego-Carlsbad-San Marcos, CA MSA","8,721","7,245","4/14/2006","10/27/1975","10/13/2006","6/30/2017","$3,000,000 ","$2,282,265 ","$262 ","($125,660)","$21,182 ","-7%","$2,449,372 ","$281 ","$122,540 ","$264,000 ","$540,751 ","23.70%","$0 ","M","Urb/Sub","B","1,500,000","527,019","$425 ","8-Aug",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
3,"UTC","Westfield Corp.","San Diego","CA",92122,"San Diego-Carlsbad-San Marcos, CA MSA","7,792","5,932","8/27/2004","11/7/1977","7/22/2005","1/31/2015","$2,500,000 ","$2,388,017 ","$306 ","$5,029 ","$134,830 ","-3%","$2,461,887 ","$316 ","$170,602 ","$301,306 ","$550,464 ","23.10%","$23 ","M","Mall","A","1,058,040","463,614","$674 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
4,"Parkway ","Westfield Corp.","El Cajon","CA",92020,"San Diego-Carlsbad-San Marcos, CA MSA","7,164","6,363","3/9/2001","4/1/1981","11/12/2001","6/30/2012","$1,800,000 ","$1,325,917 ","$185 ","($100,573)","($28,656)","-11%","$1,495,409 ","$209 ","$78,807 ","$128,697 ","$346,024 ","26.10%","$0 ","M","Urb/Sub","B","1,071,524","471,760","$400 ","8-Aug",,,"F21",,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
5,"Fashion Valley Mall","Simon","San Diego","CA",92108,"San Diego-Carlsbad-San Marcos, CA MSA","10,080","9,162","8/21/2002","8/7/1981","10/24/2003","1/31/2018","$6,500,000 ","$4,071,784 ","$404 ","($752,871)","($599,628)","-9%","$4,456,468 ","$442 ","($341,373)","($146,546)","$1,712,161 ","42.00%","$0 ","M","Mall","A","1,310,300","369,387","$890 ","9-Dec",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Maple Hardwood","Partial"
6,"Plaza Bonita","Westfield Corp.","National City","CA",91950,"San Diego-Carlsbad-San Marcos, CA MSA","6,770","5,277",,"11/4/1981","9/29/2006","1/31/2017","$2,800,000 ","$1,877,958 ","$277 ","($143,975)","($43,796)","-9%","$2,072,608 ","$306 ","$64,390 ","$162,088 ","$482,918 ","25.70%","$24 ","M","Mall","B","822,524","392,000","$400 ","10-May",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
7,"Grossmont Center","CB Richard Ellis","La Mesa","CA",91942,"San Diego-Carlsbad-San Marcos, CA MSA","6,500","5,030","8/6/1998","10/1/1984","3/29/1999","1/10/2015","$0 ","$1,263,613 ","$194 ","$198,555 ","$220,417 ","-12%","$1,433,058 ","$220 ","$338,605 ","$352,048 ","$96,943 ","7.70%","$23 ","M","Urb/Sub","C","950,000","440,000","$340 ","8-Aug",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
9,"North County Fair ","Westfield Corp.","Escondido","CA",92025,"San Diego-Carlsbad-San Marcos, CA MSA","6,913","4,936","10/16/2007","2/18/1986","8/26/2008","1/31/2019","$2,900,000 ","$1,859,222 ","$269 ","($120,193)","($18,814)","-16%","$2,214,519 ","$320 ","$242,035 ","$357,559 ","$500,183 ","26.90%","$0 ","M","Urb/Sub","B","1,300,000","378,900","$403 ","8-Aug",,,"F21",,,,"Bright Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
10,"Westfield MainPlace ","Westfield Corp.","Santa Ana","CA",92705,"Orange County","6,599","5,270","4/15/2003","9/26/1987","8/23/2003","6/30/2013","$2,000,000 ","$1,505,114 ","$228 ","($206,188)","($121,200)","-13%","$1,736,975 ","$263 ","$37,720 ","$116,214 ","$445,522 ","29.60%","$0 ","M","Urb/Sub","C","1,382,980","722,480","$325 ","9-Dec",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Maple Hardwood","Partial"
12,"Chula Vista Center* ","GGP","Chula Vista","CA",91910,"San Diego-Carlsbad-San Marcos, CA MSA","8,300","6,583","9/30/2010","10/27/1988","4/22/2011","1/31/2011","$1,400,000 ","$1,375,388 ","$166 ","$18,527 ","$76,330 ","-2%","$1,406,464 ","$169 ","$116,046 ","$149,981 ","$238,329 ","17.30%","$0 ","M","Urb/Sub","C","880,000","361,700","$315 ","10-Apr",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
14,"Westminster Mall ","Simon","Westminster","CA",92683,"Orange County","7,280","4,861","12/17/2003","11/17/1989","9/3/2004","1/31/2015","$2,100,000 ","$1,201,356 ","$165 ","($223,661)","($111,955)","-15%","$1,405,384 ","$193 ","($38,783)","$58,798 ","$402,796 ","33.50%","$24 ","M","Urb/Sub","C","1,100,000","620,045","$340 ","8-Jul",,,"F21",,,,"Brite Store","Yes","No","Yes","Yes","Yes","No","Maple Hardwood","Partial"
15,"Brea Mall ","Simon","Brea","CA",92821,"Orange County","8,208","6,583","5/14/2002","4/6/1990","7/25/2003","1/31/2013","$2,200,000 ","$1,635,045 ","$199 ","($159,111)","($60,012)","-19%","$2,023,714 ","$247 ","$186,314 ","$267,599 ","$504,489 ","30.90%","$0 ","M","Mall","A","1,250,000","530,000","$680 ","9-Dec",,,"F21",,,,"Brite Store","Curved","No","No","Yes","No","No","Maple Hardwood","Partial"
17,"Scottsdale Fashion Sq. ","Macerich","Scottsdale","AZ",85251,"Phoenix--Mesa, AZ MSA","7,468","6,437","4/19/2001","10/17/1990","11/14/2001","12/31/2011","$2,500,000 ","$1,582,313 ","$212 ","($134,841)","($57,288)","-11%","$1,786,449 ","$239 ","$99,031 ","$141,642 ","$554,944 ","35.10%","$35 ","M","Mall","A","1,800,000","783,000","$575 ","10-Jul",,,"F21",,,,"Gen II","Curved","No","No","No","No","No","Carpet/Tile","None"
18,"Paradise Valley Mall ","Macerich","Phoenix","AZ",85032,"Phoenix-Mesa-Scottsdale, AZ MSA","8,904","7,817","9/26/2000","11/8/1990","8/4/2001","1/31/2012","$2,400,000 ","$1,096,770 ","$123 ","($228,556)","($162,900)","-16%","$1,309,751 ","$147 ","($17,285)","$29,537 ","$433,269 ","39.50%","$0 ","M","Urb/Sub","D","1,350,000","420,000","$265 ","10-Jul",,,,,,,"Gen II","No","No","No","No","No","No","Carpet/Tile","None"
19,"Del Amo Fashion Center","Simon","Torrance","CA",90503,"Los Angeles-Long Beach ","5,845","5,845",,"11/16/1990","9/22/2006","1/31/2017","$2,100,000 ","$1,256,911 ","$215 ","($256,170)","($148,598)","-12%","$1,435,103 ","$246 ","($58,871)","$28,151 ","$469,624 ","37.40%","$0 ","M","Urb/Sub","B","2,500,000","1,743,000","$460 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
20,"Metrocenter","JLL","Phoenix","AZ",85051,"Phoenix-Mesa-Scottsdale, AZ MSA","7,339","5,562",,"4/14/1991","6/30/2006","5/31/2016","$1,800,000 ","$1,170,014 ","$159 ","($92,952)","($6,688)","-11%","$1,320,443 ","$180 ","$86,814 ","$137,417 ","$263,402 ","22.50%","$0 ","M","Urb/Sub","C","1,350,000","560,400","$345 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
21,"Lakewood Center ","Macerich","Lakewood","CA",90712,"Los Angeles-Long Beach","9,000","5,906","3/21/2003","8/2/1991","11/25/2003","1/31/2014","$1,600,000 ","$1,584,768 ","$176 ","$23,591 ","$96,344 ","-10%","$1,768,588 ","$197 ","$254,593 ","$304,191 ","$302,315 ","19.10%","$20 ","M","Urb/Sub","B","1,200,000","1,049,649","$380 ","10-Jul",,,"F21",,,,"Brite Store","Yes","No","No","No","No","No","Vinyl","Partial"
22,"Santa Anita","Westfield Corp.","Arcadia","CA",91007,"Los Angeles-Long Beach","7,000","4,817",,"11/23/1991","8/25/2006","1/31/2017","$1,700,000 ","$1,046,739 ","$150 ","($247,536)","($233,064)","-13%","$1,204,430 ","$172 ","($97,256)","($101,205)","$451,460 ","43.10%","$28 ","M","Urb/Sub","B","1,113,428","417,574","$415 ","9-Feb",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
23,"Boulevard Mall, The ","GGP","Las Vegas","NV",89109,"Las Vegas, NV--AZ MSA","7,500","5,810","12/17/2003","11/19/1992","7/23/2004","1/31/2014","$2,100,000 ","$1,062,273 ","$142 ","($248,473)","($158,809)","-18%","$1,295,396 ","$173 ","($47,036)","$51,546 ","$367,631 ","34.60%","$0 ","M","Urb/Sub","D","1,186,185","414,095","$280 ","10-Mar",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
25,"Moreno Valley Mall","GGP","Moreno Valley","CA",92553,"Riverside-San Bernardino-Ontario, CA MSA","7,879","7,303",,"7/30/1993",,"5/31/2013","$0 ","$1,146,349 ","$145 ","$98,481 ","$172,871 ","-13%","$1,321,026 ","$168 ","$272,385 ","$316,994 ","$47,895 ","4.20%","$38 ","M","Urb/Sub","D","1,090,000","429,635","$257 ","9-Oct",,,"F21",,,,"Disco/Russel Williams","No","No","No","No","No","No","Carpet/Tile","None"
27,"West Covina","Westfield Corp.","West Covina","CA",91790,"Los Angeles-Long Beach","6,500","4,604","2/11/2005","10/29/1993","10/28/2005","1/31/2016","$1,500,000 ","$1,316,372 ","$203 ","($81,520)","$9,574 ","-13%","$1,513,597 ","$233 ","$123,233 ","$189,865 ","$342,839 ","26.00%","$34 ","M","Urb/Sub","B","1,245,771","625,112","$370 ","8-Aug",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
28,"Topanga","Westfield Corp.","Canoga Park","CA",91303,"Los Angeles-Long Beach","7,339","4,590","5/13/2005","11/12/1993","10/6/2006","6/30/2017","$2,400,000 ","$1,430,083 ","$195 ","($308,032)","($283,784)","-5%","$1,505,412 ","$205 ","($214,562)","($222,424)","$602,170 ","42.10%","$9 ","M","Urb/Sub","B","1,033,766","359,254","$450 ","10-Apr",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
29,"Meadows Mall ","GGP","Las Vegas","NV",89107,"Las Vegas, NV--AZ MSA","7,673","6,045","12/17/2003","11/5/1993","7/16/2004","1/31/2014","$1,800,000 ","$1,658,199 ","$216 ","($70,730)","$7,359 ","-12%","$1,884,463 ","$246 ","$166,229 ","$242,049 ","$397,289 ","24.00%","$0 ","M","Urb/Sub","B","950,000","312,000","$399 ","10-Mar",,,,,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
30,"Arrowhead Towne Center","Macerich","Glendale","AZ",85308,"Phoenix-Mesa-Scottsdale, AZ MSA","7,291","5,755","4/23/2004","11/19/1993","11/4/2004","1/31/2015","$2,300,000 ","$2,471,492 ","$339 ","$297,662 ","$386,594 ","-7%","$2,657,444 ","$364 ","$494,313 ","$575,449 ","$472,573 ","19.10%","$0 ","M","Mall","A","1,131,276","391,832","$560 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
31,"Laguna Hills Mall","Simon","Laguna Hills","CA",92653,"Orange County","7,620","6,035","2/7/2005","7/29/1994","11/22/2005","1/31/2015","$1,200,000 ","$981,185 ","$129 ","($54,082)","$11,142 ","-10%","$1,087,921 ","$143 ","$101,150 ","$140,425 ","$131,242 ","13.40%","$26 ","M","Urb/Sub","C","791,677","267,453","$315 ","9-Dec",,,,,,,"Old Standard","No","No","No","No","No","No","Vinyl","None"
32,"Tucson Mall ","GGP","Tucson","AZ",85705,"Tucson, AZ MSA","6,724","5,222","12/17/2003","5/12/1995","7/24/2004","1/31/2014","$2,300,000 ","$1,949,380 ","$290 ","$161,382 ","$250,599 ","-24%","$2,577,133 ","$383 ","$537,497 ","$620,200 ","$388,106 ","19.90%","$0 ","M","Urb/Sub","B","1,310,000","409,982","$420 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
33,"Northridge Fashion Ctr ","GGP","Northridge","CA",91324,"Los Angeles-Long Beach","7,532","5,763","12/17/2003","7/17/1995","7/9/2004","1/31/2014","$2,100,000 ","$1,855,970 ","$246 ","($38,964)","$47,789 ","-2%","$1,891,710 ","$251 ","$120,156 ","$203,646 ","$435,643 ","23.50%","$0 ","M","Mall","A","1,440,000","430,000","$560 ","8-Jun",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
34,"Montebello Town Center","Macerich","Montebello","CA",90640,"Los Angeles-Long Beach","6,653","6,233","1/19/2007","8/4/1995","5/13/2008","1/31/2018","$2,200,000 ","$1,411,751 ","$212 ","($101,649)","($2,659)","-5%","$1,491,047 ","$224 ","$46,191 ","$110,225 ","$384,377 ","27.20%","$20 ","M","Urb/Sub","B","700,000","296,640","$425 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
35,"Glendale Galleria  ","GGP","Glendale","CA",91210,"Los Angeles-Long Beach","6,914","5,286","6/30/2004","8/19/1995","8/23/2005","1/31/2017","$2,200,000 ","$1,962,987 ","$284 ","($195,647)","($94,032)","-4%","$2,049,673 ","$296 ","($51,004)","$51,097 ","$659,885 ","33.60%","$12 ","M","Mall","A","1,320,000","600,000","$723 ","8-Jun",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
36,"Fiesta Mall","Macerich","Mesa","AZ",85202,"Phoenix-Mesa-Scottsdale, AZ MSA","7,660","5,864","3/7/2007","11/4/1995","11/16/2007","1/31/2018","$2,500,000 ","$1,022,061 ","$133 ","($203,578)","($178,232)","-16%","$1,209,566 ","$158 ","($54,405)","($6,656)","$410,002 ","40.10%","$23 ","M","Urb/Sub","D","1,036,000","431,645","$230 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
37,"Hernderson Galleria @ Sunset","Forest City","Henderson","NV",89014,"Las Vegas, NV--AZ MSA","8,262","6,314","9/12/1996","2/28/1996","11/10/2006","1/31/2016","$2,500,000 ","$1,862,347 ","$225 ","($15,714)","$108,867 ","-9%","$2,036,564 ","$246 ","$177,897 ","$286,042 ","$408,545 ","21.90%","$43 ","M","Urb/Sub","B","950,000","338,834","$398 ","10-Mar",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
38,"Ontario Mills Mall","Simon/Mills Corp","Ontario","CA",91764,"Riverside-San Bernardino-Ontario, CA MSA","8,214","6,390","12/16/2004","11/14/1996","5/19/2006","12/31/2014","$2,400,000 ","$2,150,971 ","$262 ","$8,463 ","$115,737 ","-14%","$2,505,114 ","$305 ","$430,897 ","$504,721 ","$408,730 ","19.00%","$19 ","O","Outlet","A","1,559,106","540,384","$566 ","10-Sep",,,"F21",,,,"Brite Store","Yes","No","Yes","Yes","Yes","No","Vinyl","Partial"
40,"Valley Plaza Mall","GGP","Bakersfield","CA",93304,"Fresno-Bakersfield, CA MSA","7,477","5,687","2/25/2004","4/30/1997","5/6/2005","1/31/2016","$2,100,000 ","$2,397,664 ","$321 ","$345,146 ","$440,742 ","-19%","$2,955,455 ","$395 ","$659,940 ","$741,348 ","$158,925 ","6.60%","$42 ","M","Mall","A","1,180,000","391,898","$520 ","8-Jun",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
42,"Pearlridge Center","Glimcher Properties","Aiea","HI",96701,"Hawaii","9,897","6,873","3/31/2006","8/25/1997","11/16/2006","1/31/2018","$2,100,000 ","$3,026,624 ","$306 ","$311,940 ","$485,494 ","-11%","$3,388,113 ","$342 ","$697,278 ","$834,197 ","$417,650 ","13.80%","$20 ","M","Urb/Sub",,"1,250,000",,,,,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","No","Vinyl","Partial"
43,"Orlando Fashion Square","Preit","Orlando","FL",32803,"Orlando, FL MSA","5,938","5,313","1/24/1997","9/13/1997",,"1/31/2012","$2,000,000 ","$984,302 ","$166 ","$100,263 ","$119,894 ","-12%","$1,120,167 ","$189 ","$118,792 ","$137,583 ","$78,877 ","8.00%","$50 ","M","Urb/Sub","D","1,070,283","410,000","$228 ","10-Apr",,,,,"O",,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
45,"Grapevine Mills","Simon/Mills Corp","Grapevine","TX",76051,"Dallas-Fort Worth, TX","8,967","8,095","1/30/1997","10/30/1997","9/15/2006","1/31/2017","$2,400,000 ","$1,766,373 ","$197 ","$23,119 ","$82,555 ","2%","$1,724,793 ","$192 ","$224,370 ","$275,764 ","$429,279 ","24.30%","$27 ","O","Outlet","B","1,500,000","554,339","$335 ","10-Sep",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
47,"Oviedo Marketplace","Urban Retail Properties","Oveido","FL",32765,"Orlando, FL MSA","7,500","6,465","7/11/1997","3/4/1998",,"3/31/2011","$1,500,000 ","$975,507 ","$130 ","$82,041 ","$118,413 ","-12%","$1,113,879 ","$149 ","$145,360 ","$182,010 ","$62,559 ","6.40%","$100 ","M","Urb/Sub","D","952,000","335,000","$225 ","9-Sep",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
49,"Arizona Mills","Simon/Mills Corp","Tempe","AZ",85282,"Phoenix-Mesa-Scottsdale, AZ MSA","8,092","5,845","4/14/2006","11/20/1997","11/17/2006","1/31/2017","$2,400,000 ","$2,278,104 ","$282 ","$89,418 ","$156,054 ","-10%","$2,522,366 ","$312 ","$377,796 ","$438,609 ","$557,101 ","24.50%","$27 ","O","Outlet","B","1,117,894","930,000","$360 ","10-Sep",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","No","Vinyl","Partial"
61,"Roosevelt Field","Simon","Garden City","NY",11530,"NY-N. NJ-Long Island, NY-NJ-CT-PA","7,087","5,267","10/14/2005","11/17/1996","7/20/2007","7/31/2017","$3,000,000 ","$3,434,196 ","$485 ","$177,303 ","$359,527 ","-11%","$3,851,527 ","$543 ","$681,017 ","$851,605 ","$787,010 ","22.90%","$7 ","M","Mall","A","2,100,000","558,000","$890 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Maple Hardwood","Full"
62,"Haywood Mall","Simon","Greenville","SC",29607,"Greenville--Spartanburg--Anderson, SC MSA","6,525","4,730","1/22/2007","4/1/1998","8/3/2007","1/31/2018","$1,600,000 ","$1,890,139 ","$290 ","$8,579 ","$145,364 ","1%","$1,875,784 ","$287 ","$116,617 ","$228,528 ","$503,202 ","26.60%","$49 ","M","Rural","B","1,244,661","331,185","$483 ","8-Oct",,,,,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
64,"Collin Creek","GGP","Plano","TX",75075,"Dallas-Fort Worth, TX","6,764","4,978","10/24/1997","5/16/1998",,"3/31/2011","$1,800,000 ","$1,021,527 ","$151 ","$55,734 ","$96,012 ","-8%","$1,113,029 ","$165 ","$147,213 ","$168,978 ","$152,975 ","15.00%","$44 ","M","Urb/Sub","D","1,118,000","337,267","$275 ","10-May",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
65,"Fresno Fashion Fair","Macerich","Fresno","CA",93710,"Fresno-Bakersfield, CA MSA","7,594","5,495","4/21/2006","6/9/1998","5/4/2007","1/31/2017","$2,000,000 ","$2,451,588 ","$323 ","$137,572 ","$268,309 ","-13%","$2,802,076 ","$369 ","$530,994 ","$616,000 ","$464,644 ","19.00%","$40 ","M","Mall","A","881,334","320,453","$540 ","10-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Vinyl","Full"
66,"Cobb, Town Center at","Simon","Kennesaw","GA",30144,"Atlanta, GA MSA","6,950","5,220","5/16/2007","6/2/1998","5/6/2008","1/31/2018","$2,600,000 ","$1,588,322 ","$229 ","($150,214)","($37,310)","-14%","$1,851,991 ","$266 ","$149,633 ","$256,906 ","$513,315 ","32.30%","$0 ","M","Urb/Sub","B","1,273,593","422,247","$420 ","8-Jul",,,"F21",,,,"Brite Store","Yes","Yes","Yes","Yes","Yes","Yes","Tile","Full"
67,"West Oaks Mall","GGP","Ocoee","FL",34761,"Orlando, FL MSA","7,198","5,815","10/24/1997","8/5/1998",,"1/31/2011","$1,500,000 ","$802,855 ","$112 ","($108,420)","($59,866)","-7%","$861,374 ","$120 ","$4,354 ","$28,261 ","$143,077 ","17.80%","$58 ","M","Rural","D","1,160,000","305,000","$250 ","10-Apr",,,,,,,"Linda Krueger","No","No","No","No","No","No","Carpet/Tile","None"
68,"Melbourne Square","Simon","Melbourne","FL",32904,"Melbourne--Titusville--Palm Bay, FL MSA","6,339","4,820","9/30/2010","6/3/1998","10/14/2011","6/30/2010","$1,300,000 ","$1,193,070 ","$188 ","$66,052 ","$139,800 ","-10%","$1,331,413 ","$210 ","$229,255 ","$247,683 ","$182,395 ","15.30%","$60 ","M","Rural","C","737,769","261,507","$350 ","10-Jun",,,,,,,"Linda Krueger","No","No","No","No","No","No","Carpet/Tile","None"
69,"Lakeline Mall","Simon","Cedar Park","TX",78613,"Austin--San Marcos, TX MSA","7,889","5,981","10/24/1997","9/28/1998",,"1/31/2014","$1,500,000 ","$1,131,729 ","$143 ","$18,911 ","$53,730 ","-22%","$1,446,800 ","$183 ","$232,351 ","$256,025 ","$275,719 ","24.40%","$60 ","M","Rural","C","1,102,850","361,072","$348 ","9-Jul",,,"F21",,,,"Old Standard","Curved","No","No","No","No","No","Carpet/Tile","None"
70,"Sunset Place, The Shops at ","Simon","Miami Beach","FL",33143,"Miami-Fort Lauderdale, FL","7,363","5,730","1/19/1998","1/14/1999",,"1/31/2011","$2,200,000 ","$999,103 ","$136 ","$89,959 ","$89,959 ","-11%","$1,118,185 ","$152 ","$114,516 ","$109,958 ","$185,857 ","18.60%","$55 ","LU","Lifestyle","C","460,000","460,000","$327 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
71,"Coral Square Mall","Simon","Coral Springs","FL",33071,"Miami-Fort Lauderdale, FL","7,010","5,622","9/30/2010","6/8/1998","10/7/2011","6/30/2010","$1,600,000 ","$1,288,974 ","$184 ","($10,146)","$80,151 ","-21%","$1,625,454 ","$232 ","$249,833 ","$290,227 ","$261,613 ","20.30%","$55 ","M","Urb/Sub","B","941,049","456,681","$451 ","10-Jun",,,,,,,"Linda Krueger","No","No","No","No","No","No","Carpet/Tile","None"
72,"Montclair Plaza","GGP","Montclair","CA",91763,"Riverside-San Bernardino-Ontario, CA MSA","7,733","5,546","12/16/1997","6/29/1998",,"1/31/2011","$1,600,000 ","$1,000,623 ","$129 ","($118,413)","($61,073)","-14%","$1,164,345 ","$151 ","$67,531 ","$90,239 ","$216,024 ","21.60%","$65 ","M","Urb/Sub","C","1,350,000","507,019","$320 ","10-Sep",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
74,"Tyrone Square","Simon","St. Petersburg","FL",33710,"Tampa--St. Petersburg--Clearwater, FL MSA","7,644","5,534","10/24/1997","8/19/1998",,"1/31/2011","$2,200,000 ","$1,129,821 ","$148 ","$29,093 ","$103,197 ","-13%","$1,300,660 ","$170 ","$103,684 ","$153,074 ","$161,466 ","14.30%","$50 ","M","Urb/Sub","C","1,128,281","345,388","$345 ","10-Jun",,,"F21",,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
75,"Palisades Center","Pyramid","West Nyack","NY",10994,"NY-N. NJ-Long Island, NY-NJ-CT-PA","7,060","5,598","11/30/2007","11/4/1998","9/17/2009","1/31/2020","$2,500,000 ","$1,417,262 ","$201 ","($265,235)","($127,017)","8%","$1,318,156 ","$187 ","($40,406)","$25,525 ","$485,806 ","34.30%","$0 ","M","Mall","A","875,000","345,853","$610 ","8-May",,,"F21",,,,"Brite Store","No","Yes","No","Yes","No","No","Tile","None"
76,"Broward Mall","Westfield Corp.","Plantation","FL",33388,"Miami-Fort Lauderdale, FL","6,043","4,553","3/18/1998","11/27/1998",,"1/31/2011","$1,600,000 ","$1,347,885 ","$223 ","$28,279 ","$159,218 ","-12%","$1,537,892 ","$254 ","$290,684 ","$320,774 ","$212,000 ","15.70%","$58 ","M","Urb/Sub","C","1,002,736",,"$350 ","10-Jul",,,,,,,"Old Standard","No","No","No","No","No","No","Carpet/Tile","None"
77,"Great Lakes Crossing","Taubman","Auburn Hills","MI",48326,"Detroit-Ann Arbor-Flint, MI","8,000","6,970","7/10/1998","11/12/1998",,"1/31/2011","$2,000,000 ","$1,445,163 ","$181 ","$20,979 ","$72,807 ","8%","$1,337,826 ","$167 ","$98,182 ","$106,345 ","$292,822 ","20.30%","$40 ","O","Outlet","B","1,376,000","567,000","$350 ","10-Jan",,,"F21",,,,"Old Standard","Yes","No","No","No","No","No","Carpet/Tile","None"
78,"Perimeter Mall","GGP","Atlanta","GA",30346,"Atlanta, GA MSA","7,972","6,888","4/14/2006","11/23/1998","10/6/2006","1/31/2017","$2,600,000 ","$2,045,027 ","$257 ","($60,915)","$41,045 ","8%","$1,901,708 ","$239 ","$37,544 ","$128,711 ","$565,749 ","27.70%","$15 ","M","Mall","A","1,560,000","502,000","$540 ","8-Jun",,,"F21",,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Vinyl","Partial"
79,"Citrus Park ﾮ","Westfield Corp.","Tampa","FL",33625,"Tampa--St. Petersburg--Clearwater, FL MSA","6,800","5,270","8/15/2007","3/3/1999","8/5/2008","6/30/2018","$2,800,000 ","$1,729,294 ","$254 ","$65,998 ","$204,047 ","-11%","$1,940,002 ","$285 ","$219,785 ","$362,827 ","$336,838 ","19.50%","$0 ","M","Urb/Sub","B","1,135,000","317,000","$420 ","8-Aug",,,,,,,"Brite Store","Yes","No","No","Yes","Yes","Yes","Tile","Partial"
